,gaia_dr3_source_id
10007,6363066238835644416
10020,1816561365650768000
10031,1829497021177625472
10037,1805766124267194368
10042,6467585887187253760
10051,2305371872776331904
10064,6467504381591496704
10073,6667752047743341952
10111,6468768686820452608
10147,2056288680427610112
10148,6876026174545050752
10149,6876026174545050368
10159,6876851327957774336
10177,4244731777960304384
10188,6679362959252072832
10189,6904408216086351360
10197,6860969290515866112
10223,2056190235474086528
10240,6699868232635182720
10250,4219603268635199360
10263,4231081414113823232
10267,2181801948526320768
10278,2067496827080173184
10283,6846230891195990656
10301,2185079665705538048
10314,1804015873552680576
10333,4229008869056208256
10344,6874825370411033472
10350,2056439725830998144
10365,2056440344314369280
10368,4229328547768399488
10388,6696618694738631040
10396,6373119623403425920
10397,1805006597953157248
10404,1861787543075748480
10417,6859013774725531904
10437,4231104091541727744
10439,2068854586499710464
10449,6475282434220051968
10456,2184977990943437056
10457,6475580608031098368
10458,6848280891970718080
10462,6475580608031183104
10470,2083055736954942208
10475,6798046370361706624
10532,1860104710479849344
10547,1860225583728496256
10551,4218098376519548160
10567,6860887140680514304
10572,6906197808698867712
10574,6906197808698867584
10576,4217863527711631104
10578,2246656092133538048
10588,2186823353707174528
10603,6474312454510860672
10610,6363507903206319488
10663,6343145738134060544
10666,6799673961106126592
10683,1803863243302502912
10693,1753749771045399424
10696,2068031219791744384
10722,2071078176977176064
10725,1860233181531993088
10764,4225800386751257728
10775,6695448432113670144
10800,1832657322529510656
10803,2274765111191373056
10808,6793065376530745856
10818,1748816983925915776
10822,1748922296525519872
10837,2186612105741592448
10843,6474450550595885696
10858,6848779073817453824
10872,6799640838318191232
10887,2064280373311767296
10892,2194823503386158336
10918,2064284054100290048
10934,2064328270786091136
10941,1830901574254227328
10949,1861054722874160384
10950,6369529756595303552
10963,1752997537587574016
10967,6875762674007953152
10972,1863392142857483136
10992,6475631666600649472
11024,2181460928123112704
11030,2056895194225688064
11033,2056895194225684864
11035,6855726892092331136
11040,2247283122997785088
11041,2181552462469281152
11060,6675628777245765120
11062,1815742508656148480
11068,6475939358059500928
11070,2188364864717683200
11093,6425770463551365760
11094,1856648670539810688
11098,1861027333862160640
11103,4225936142079157504
11114,6369309162777917568
11133,6426355914836548608
11140,6901562508193245952
11147,6899819846694528896
11197,2181651628971026560
11202,1818501870531001600
11222,1752715749078038656
11234,1812554676560349568
11251,6681510954000897280
11254,2064054629830019328
11258,4225778602678650368
11269,6862609555705425920
11285,2056625646374157184
11295,6676421761352374784
11334,6798697422981741056
11341,4232458445056082816
11342,2245551602640533120
11350,4224699230153058944
11351,4224699225856218368
11352,1860806881783999616
11354,6470891976916409344
11451,6908407066861225728
11455,6453746879788705664
11466,2187179075779531648
11471,1855910275463661440
11476,1749541875622774784
11487,2187273294481108352
11511,1755960820211364352
11522,6676455433894568192
11541,6455065159870008704
11547,1749144505248265216
11550,6791548054778323840
11559,6683255917607897984
11571,1862669939818850816
11572,1862669939818850688
11576,1812599142353197056
11577,1751150388118530816
11583,2180853654109990016
11608,2069622487994113408
11612,2167884948815689472
11617,2167884742657252352
11621,1754629380347258112
11631,6906761548926472576
11632,4231249050982986880
11664,2187341700425190400
11665,2187341700425179008
11683,6798348151943204608
11707,2182380295939334784
11721,1859148027969967744
11728,6903297606261527424
11735,6806457909192570112
11742,4231183114644856064
11743,1814127356142644224
11777,6674523974217870080
11780,1748276234658802816
11814,4232095400058350208
11824,4231393018288162176
